municipality,year,week,season,ndvi,evi,temperature,temperature_max,temperature_min,rainfall_total,humidity,solar_radiation,wind_speed
Malinao,2014,41,Cool Dry,0.725,0.5668,27.72142857,28.02,27.22,50.82,81.43857142857144,18.24,2.462857142857143
Malinao,2014,42,Cool Dry,0.7516,0.4833,27.34142857,27.99,26.83,82.24,82.36857142857143,14.86,2.5500000000000003
Malinao,2014,43,Cool Dry,0.6915,0.5432,27.04857143,27.58,26.57,118.28,85.78,13.808571428571428,4.187142857142857
Malinao,2014,44,Cool Dry,0.7486,0.4574,27.27142857,27.58,27.1,71.08,85.48142857142857,14.694285714285714,4.632857142857143
Malinao,2014,45,Cool Dry,0.7359,0.4807,26.33857143,27.17,25.44,15.79,80.1542857142857,17.745714285714286,4.535714285714286
Malinao,2014,47,Cool Dry,0.733,0.3594,26.49428571,26.67,26.18,64.93,85.11142857142856,13.877142857142855,5.078571428571428
Malinao,2014,48,Cool Dry,0.6882,0.4787,26.73571429,27.26,26.48,68.74,86.88285714285713,14.625714285714285,3.367142857142857
Malinao,2014,49,Dry,0.6677,0.3955,27.02857143,27.2,26.74,153.89,86.88428571428572,13.38,4.747142857142857
Malinao,2014,50,Dry,0.6679,0.3574,26.32714286,27.07,25.12,224.43,85.28285714285714,11.09142857142857,7.532857142857142
Malinao,2014,51,Dry,0.7002332082280137,0.3772430129625277,26.33285714,26.67,25.42,134.32999999999998,87.50857142857144,11.79,4.838571428571428
Malinao,2014,52,Dry,0.6442837715748273,0.400795284936374,26.24714286,26.58,25.68,159.25,87.38857142857144,12.611428571428572,7.24
Malinao,2015,1,Dry,0.6784640313120334,0.3409258296212493,25.59333333,25.79,25.43,139.62,89.78666666666668,4.86,7.713333333333334
Malinao,2015,2,Dry,0.6835357493015789,0.4080488442992504,24.86,25.36,24.41,220.67,84.32000000000001,12.108571428571429,7.595714285714286
Malinao,2015,3,Dry,0.6874280339552455,0.3699015962891391,25.05142857,25.83,24.02,24.5,83.18142857142857,14.405714285714286,4.408571428571428
Malinao,2015,4,Dry,0.7221111158488429,0.4257421638054872,24.91571429,25.73,24.21,33.69,82.82714285714285,13.801428571428572,5.827142857142857
Malinao,2015,6,Dry,0.7751199857614598,0.4500663807189704,24.44142857,25.24,23.81,15.67,78.99142857142856,18.035714285714285,5.0371428571428565
Malinao,2015,7,Dry,0.7418937504972587,0.4661875385478769,24.93857143,25.52,24.5,110.01,86.67714285714285,14.328571428571427,5.651428571428572
Malinao,2015,8,Dry,0.7672299405384708,0.4993980886986027,24.44428571,24.78,23.97,15.46,79.30142857142857,17.84,5.051428571428572
Malinao,2015,9,Dry,0.752721509871094,0.4855161993230065,25.40142857,25.72,24.79,8.04,79.30142857142857,20.205714285714286,4.7057142857142855
Malinao,2015,10,Hot Dry,0.743263618494507,0.4747124701446453,25.40285714,26.03,24.82,14.52,79.15714285714286,19.801428571428573,4.8185714285714285
Malinao,2015,11,Hot Dry,0.7059856411879044,0.5344141840040513,25.28857143,25.66,24.93,7.14,75.5442857142857,22.037142857142857,4.757142857142857
Malinao,2015,12,Hot Dry,0.7707730242013999,0.4880543510339234,25.73571429,26.7,24.97,21.39,78.21857142857142,18.458571428571428,3.6557142857142857
Malinao,2015,14,Hot Dry,0.7090813890530807,0.5276507093491185,26.67714286,26.93,26.34,30.65,79.94428571428571,19.83142857142857,4.338571428571429
Malinao,2015,15,Hot Dry,0.7454234092893869,0.4611812660660003,26.49,26.89,26.24,7.97,78.19571428571429,21.76714285714285,4.708571428571429
Malinao,2015,16,Hot Dry,0.690480593443635,0.505400856757522,27.43285714,27.91,27.09,31.42,78.69142857142857,22.414285714285715,4.438571428571429
Malinao,2015,17,Hot Dry,0.7028266908994172,0.4518988666844302,27.78428571,28.14,27.32,17.66,77.79571428571428,22.571428571428573,3.275714285714286
Malinao,2015,18,Hot Dry,0.6830583144695989,0.5035180627900493,28.01714286,28.23,27.77,47.53,78.11,21.985714285714288,3.468571428571429
Malinao,2015,19,Hot Dry,0.7133021641206472,0.4412695869961048,28.00857143,28.38,27.61,6.31,76.18714285714285,25.49428571428572,3.924285714285714
Malinao,2015,20,Hot Dry,0.7481276978578428,0.4654925316715196,28.63857143,29.25,27.89,3.82,72.69285714285715,23.708571428571428,2.827142857142857
Malinao,2015,22,Hot Dry,0.7112297072099696,0.3625641762012226,29.57714286,29.84,29.25,10.99,69.63428571428571,24.187142857142856,2.6942857142857144
Malinao,2015,23,Wet,0.7294999141159916,0.4548921582214515,28.66571429,29.12,28.23,37.92,76.92571428571429,21.164285714285715,3.042857142857143
Malinao,2015,24,Wet,0.7300435395049001,0.46475453910252,28.83,29.18,28.46,15.81,77.52,21.435714285714283,3.12
Malinao,2015,25,Wet,0.4352065732981577,0.3061511854569281,28.41285714,29.18,27.74,36.73,76.8,20.52428571428572,1.8442857142857143
Malinao,2015,26,Wet,0.3695043925715507,0.2864840277765381,28.17142857,29.12,27.4,67.25999999999999,81.14,15.582857142857142,4.977142857142858
Malinao,2015,27,Wet,0.4669475360906477,0.3549657062068845,27.70857143,28.18,27.27,42.04,84.69428571428571,15.304285714285712,6.7457142857142856
Malinao,2015,28,Wet,0.7158412665271698,0.5245133800829477,27.60857143,27.85,27.34,10.46,84.12714285714286,18.50142857142857,4.235714285714286
Malinao,2015,30,Wet,0.7867834874219456,0.5688351747741592,27.28714286,27.79,26.3,38.24,80.26285714285714,18.34,2.6214285714285714
Malinao,2015,31,Wet,0.733489266806709,0.4764019853003729,27.43571429,27.95,26.69,42.73,80.55,20.04428571428572,2.58
Malinao,2015,32,Wet,0.8153544104597767,0.5662484810556573,28.17,28.94,27.46,14.82,79.71857142857142,21.56571428571429,1.6614285714285713
Malinao,2015,33,Wet,0.8111796590915853,0.6445401092094343,28.40714286,29.5,27.72,43.19,79.83571428571429,17.14,6.028571428571429
Malinao,2015,34,Wet,0.8146576397321624,0.5535625059263315,27.67428571,28.11,27.14,39.93,80.11714285714287,18.83428571428572,3.001428571428572
Malinao,2015,35,Wet,0.7768503683411143,0.5885942504690761,28.13,29.12,27.63,23.44,79.78142857142858,19.91,2.051428571428571
Malinao,2015,36,Wet,0.7423865003049945,0.546414459796789,28.07,28.84,27.5,53.14,80.83142857142856,20.58142857142857,2.49
Malinao,2015,38,Wet,0.8124919252859362,0.5527030025622458,27.82857143,28.08,27.48,57.95,78.82142857142857,18.99,2.725714285714285
Malinao,2015,39,Wet,0.5074889456973158,0.4087266980407953,27.95285714,28.21,27.73,45.94,82.23285714285714,18.93142857142857,3.1671428571428573
Malinao,2015,40,Wet,0.7875037151330769,0.4678964940345766,27.32142857,27.79,26.47,71.11,84.00857142857141,14.742857142857144,3.54
Malinao,2015,41,Cool Dry,0.7039600694177219,0.4988557463924091,27.58714286,28.32,26.57,136.12,82.67428571428572,11.444285714285714,6.454285714285715
Malinao,2015,42,Cool Dry,0.7194386520516148,0.5073024852972599,27.71714286,27.91,27.44,5.59,82.43857142857142,18.787142857142857,4.897142857142858
Malinao,2015,43,Cool Dry,0.7196090563164302,0.5045230902487825,27.23571429,27.57,26.75,46.05,82.12571428571428,18.02857142857143,4.395714285714286
Malinao,2015,44,Cool Dry,0.7463641215118615,0.4721993984408558,27.40714286,27.55,27.07,48.74,82.21285714285715,18.46,4.748571428571429
Malinao,2015,46,Cool Dry,0.7479641274738688,0.4224134686150996,27.36142857,27.45,27.3,46.25,81.79714285714286,18.222857142857144,4.565714285714286
Malinao,2015,47,Cool Dry,0.7408006558119923,0.4464402828265373,27.32857143,27.57,27.08,51.65,79.86285714285714,18.077142857142857,5.244285714285715
Malinao,2015,48,Cool Dry,0.7121286322261463,0.4629532296488423,26.87428571,27.36,26.42,71.17,82.84142857142857,15.934285714285712,4.815714285714286
Malinao,2015,49,Dry,0.7345666586658989,0.4040286347639562,26.84857143,27.12,26.34,52.07,84.39999999999999,16.22714285714286,4.33
Malinao,2015,50,Dry,0.7194482373697128,0.4384867403767915,26.56142857,27.02,25.96,250.98,87.26571428571428,9.785714285714286,7.241428571428571
Malinao,2015,51,Dry,0.7140003032284677,0.3759574087464244,26.10571429,26.48,25.85,29.95,82.41857142857144,16.57,5.07
Malinao,2015,52,Dry,0.7107249757179369,0.3943719559816718,25.78,25.96,25.55,8.28,81.38,18.40714285714285,3.894285714285714
Malinao,2016,53,Dry,0.7551099261784397,0.3945980135012475,25.8475,26.4,25.46,60.76,82.7525,13.0175,6.085
Malinao,2016,1,Dry,0.7509995995125598,0.4131987382784701,26.21142857,26.68,25.68,35.32,82.95285714285714,15.774285714285714,3.251428571428572
Malinao,2016,2,Dry,0.7636591996306457,0.5287321287836012,25.90428571,26.11,25.61,28.66,80.79857142857144,17.202857142857145,4.841428571428572
Malinao,2016,4,Dry,0.7586880300621648,0.4705713518917428,25.51571429,26.35,24.19,75.28,84.07000000000001,13.007142857142856,7.184285714285714
Malinao,2016,5,Dry,0.7920605665210043,0.4702347369301967,25.92285714,26.52,25.16,56.5,83.27142857142857,15.218571428571428,5.078571428571428
